"scenario","replicate","time_point","method","estimate","se","ci_lower","ci_upper","truth","bias","covers","runtime"
"switching",4,90,"TMLE",0.00368555398753525,0.0339308647396048,-0.0628189409020901,0.0701900488771606,0.00359989714579583,8.56568417394142e-05,1,0.0900000000001455
"switching",4,90,"TMLE-CF",0,0.0534727936715848,-0.104806675596306,0.104806675596306,0.00359989714579583,-0.00359989714579583,1,0.430000000000291
"switching",4,90,"AIPW",0.0222249244476337,0.0339039827804287,-0.0442268818020065,0.0886767306972739,0.00359989714579583,0.0186250273018379,1,0.0600000000013097
"switching",4,90,"IPTW",0.0110269103789586,0.00685962551671308,-0.00241795563379898,0.0244717763917163,0.00359989714579583,0.00742701323316281,1,0.0199999999967986
"switching",4,90,"G-computation",0.00277720557200721,0,0.00277720557200721,0.00277720557200721,0.00359989714579583,-0.000822691573788628,0,8.09000000000015
"switching",4,90,"Cox PH",0.0139648266434473,NA,NA,NA,0.00359989714579583,0.0103649294976514,NA,0.960000000002765
"switching",4,180,"TMLE",0.0399155843721314,0.10503938309914,-0.165961606502183,0.245792775246446,0.0049790785198345,0.0349365058522969,1,0.0600000000013097
"switching",4,180,"TMLE-CF",0.00346318602649247,0.208865272834674,-0.405912748729469,0.412839120782454,0.0049790785198345,-0.00151589249334203,1,0.360000000000582
"switching",4,180,"AIPW",0.0580994539423027,0.104411787672053,-0.146547649894921,0.262746557779527,0.0049790785198345,0.0531203754224682,1,0.0599999999976717
"switching",4,180,"IPTW",2.44447310249196e-05,0.00857888502940187,-0.0167901699266027,0.0168390593886526,0.0049790785198345,-0.00495463378880958,1,0.0299999999988358
"switching",4,180,"G-computation",-0.0012092450890995,0,-0.0012092450890995,-0.0012092450890995,0.0049790785198345,-0.006188323608934,0,5.61999999999898
"switching",4,180,"Cox PH",0.0225300887741941,NA,NA,NA,0.0049790785198345,0.0175510102543596,NA,0.68999999999869
"switching",5,90,"TMLE",0.000335400058064358,0.000187005077568827,-3.11298939705428e-05,0.000701930010099258,0.00359989714579583,-0.00326449708773148,0,0.0499999999992724
"switching",5,90,"TMLE-CF",0,0.0423661759465675,-0.0830377048552722,0.0830377048552722,0.00359989714579583,-0.00359989714579583,1,0.229999999999563
"switching",5,90,"AIPW",-5.89986834292067e-05,0.000184202688607828,-0.00042003595310055,0.000302038586242136,0.00359989714579583,-0.00365889582922504,0,0.0499999999992724
"switching",5,90,"IPTW",0.00820003804495151,0.00259692600754047,0.00311006307017219,0.0132900130197308,0.00359989714579583,0.00460014089915567,1,0.0200000000004366
"switching",5,90,"G-computation",6.61505157074915e-10,1.68608447983613e-26,6.61505157074915e-10,6.61505157074915e-10,0.00359989714579583,-0.00359989648429068,0,15.8199999999997
"switching",5,90,"Cox PH",0,NA,NA,NA,0.00359989714579583,-0.00359989714579583,NA,1.10000000000218
"switching",5,180,"TMLE",0.0449235570594715,0.0098707359699467,0.025576914558376,0.064270199560567,0.0049790785198345,0.039944478539637,0,0.0799999999981083
"switching",5,180,"TMLE-CF",0,0.957814889700216,-1.87731718381242,1.87731718381242,0.0049790785198345,-0.0049790785198345,1,0.340000000000146
"switching",5,180,"AIPW",0.0462506190392567,0.0101442589693388,0.0263678714593526,0.0661333666191608,0.0049790785198345,0.0412715405194222,0,0.0800000000017462
"switching",5,180,"IPTW",0.0298032907906693,0.00355861510369212,0.0228284051874328,0.0367781763939059,0.0049790785198345,0.0248242122708348,0,0.0299999999988358
"switching",5,180,"G-computation",0.0463879941544752,1.11205934629935e-26,0.0463879941544752,0.0463879941544752,0.0049790785198345,0.0414089156346407,0,4.77000000000044
"switching",5,180,"Cox PH",0,NA,NA,NA,0.0049790785198345,-0.0049790785198345,NA,0.540000000000873
"switching",6,90,"TMLE",-0.000153831620967076,0.000152431461062973,-0.000452597284650503,0.00014493404271635,0.00359989714579583,-0.00375372876676291,0,0.0399999999972351
"switching",6,90,"TMLE-CF",-0.0189472199449593,0.444784758769938,-0.890725347134038,0.85283090724412,0.00359989714579583,-0.0225471170907551,1,0.229999999999563
"switching",6,90,"AIPW",-3.7415966557923e-05,0.000152231391301509,-0.00033578949350888,0.000260957560393034,0.00359989714579583,-0.00363731311235376,0,0.0499999999992724
"switching",6,90,"IPTW",0.00330971682054337,0.00501345979762416,-0.00651666438279997,0.0131360980238867,0.00359989714579583,-0.000290180325252461,1,0.00999999999839929
